Brand,Generic,Class,Treatment,Schedule
"April, Azurette ",Ethinyl Estradiol/Desogestrel ,Oral Contraceptive ,"Pregnancy Prevention, Hormone Regulation ",NCLM
Levaquin,Levofloxacin,Fluoroquinolone Antibiotic ,Bacterial Infection ,NCLM
Zovirax,Acyclovir,Anti-Viral ,Viral Infection ,NCLM
Alphagan,Brimonidine Tartrate ,Alpha agonist ,Glaucoma,NCLM
Depakote, Divalproex Sodium,Anticonvulsant,"Seizures, Mood Diorders ",NCLM
Antivert,Meclizine Dramamine,"H1RA, Anti-Histamine","Allergies, Motion Sickness ",OTC
Miralax,Polyethylene Glycol 3350 ,Laxative,Constipation,OTC
Victoza,Liraglutide,GLP-1 Agonist ,Diabetes Agents ,NCLM
Lanoxin,Digoxin,Cardiac Glycoside ,Heart Failure ,NCLM
Medrol,Methylprednisolone,Corticosteroid,Anti-Inflammatory,NCLM
Lovaza,Omega-3-Acid Ethyl Esters,Omega-3 Fatty Acids,Cholesterol Lowering,NCLM
Tamiflu,Oseltamivir,Anti-Viral,influenza Treatment,NCLM
Lotrel,Amlodipine/Benazepril,Calcium Channel Blocker/ACEi,Antihypertensive,NCLM
Humira,Adalimumab,TNF-alpha Blocker,"Chron's, Ulcerative Colitis",NCLM
Nascobal,Cyanocobalamin,Vitamin B12 Supplement,Vitamin B12 Supplement,NCLM
Hygroton,Chlorthalidone,Thiazide Diuretic,Antihypertensive,NCLM
Tegretol,Carbamazepine,Anti-Convulsant,Seizures,NCLM
Mirapex,Pramipexole,Dopamine Agonist,Parkinson's,NCLM
Diflucan,Fluconazole,Anti-fungal ,Fungal Infections,NCLM
Uro-Mag,Magnesium,Magnesium Supplementation,Magnesium Supplementation,NCLM
Diabeta,Glyburide,Sulfonylurea,Diabetes Agent,NCLM
Nuvaring,Ethinyl Estradiol/Etonogestrel,Vaginal Contraceptive,Pregnancy Prevention,NCLM
Lithobid,Lithium,Anti-Psychotic,Mood Disorders,NCLM
Pamelor,Nortriptyline,Tri-Cyclic Antidepressant,Depression,NCLM
Combivent,Albuterol/Ipratropium,Inhaled Beta-2 Agonist/Anticholinergics,Asthma Treatment,NCLM
Xyzal,Levocetirizine,"H1RA, Anti-Histamine",Allergies,OTC
